Date,Open,Close,High,Low,Volume,Change
2017-3-16,30.72,9.82,31.1,30.57,1.99K,-12.48%
2017-3-17,30.26,9.907,30.8,30.16,1.81K,-1.50%
2017-3-20,29.78,9.833,30.22,29.75,2.61K,-1.59%
2017-3-21,29.97,9.653,30.08,29.73,1.09K,0.64%
2017-3-22,28.71,9.722,30.02,28.65,3.16K,-4.20%
2017-3-23,28.25,9.113,28.69,28.1,2.61K,-1.60%
2017-3-24,27.84,9.096,28.46,27.8,2.34K,-1.45%
2017-3-27,28.45,8.924,29.15,27.74,3.00K,2.19%
2017-3-28,28.11,9.053,28.5,27.96,2.70K,-1.20%
2017-3-29,28.43,9.087,28.55,28.31,1.57K,1.14%
2017-3-30,28.39,9.032,28.8,28.3,2.13K,-0.14%
2017-3-31,28.53,9.193,29.2,28.45,2.67K,0.49%
2017-4-3,28.01,9.206,28.75,27.95,1.91K,-1.82%
2017-4-4,27.38,8.941,27.78,27.27,1.59K,-2.25%
2017-4-5,27.26,8.745,27.33,27.1,1.51K,-0.44%
2017-4-6,27.03,8.72,27.43,26.95,2.19K,-0.84%
2017-4-7,27.09,8.582,27.24,26.9,2.45K,0.22%
2017-4-10,27.42,8.716,27.47,27.13,0.83K,1.22%
2017-4-11,27.17,8.681,27.39,27.06,1.28K,-0.91%
2017-4-12,26.94,8.692,27.27,26.6,2.99K,-0.85%
2017-4-13,27.2,8.582,27.29,27,1.50K,0.97%
2017-4-17,27.54,8.857,27.7,27.41,1.97K,1.25%
2017-4-18,28.05,8.946,28.13,27.7,2.27K,1.85%
2017-4-19,28.45,9.036,28.66,28.26,2.28K,1.43%
2017-4-20,28.04,8.976,28.37,27.94,1.89K,-1.44%
2017-4-24,28.34,9.019,28.46,28.18,1.39K,1.07%
2017-4-25,28.49,9.084,28.68,28.31,2.35K,0.53%
2017-4-26,28.1,8.887,28.25,28.05,1.13K,-1.37%
2017-4-27,28.21,8.85,28.3,28.07,0.99K,0.39%
2017-4-28,28.12,8.861,28.22,28,0.52K,-0.32%
